Date,Open,High,Low,Close,Volume
20170816,27250,32450,27100,31500,3341469
20170814,25700,26800,24400,26750,1384477
20170811,25300,25750,24050,24950,2019038
20170810,28100,28450,26500,26500,1105526
20170809,26850,29600,25500,28200,3964347
20170808,30900,30900,26350,27650,3437793
20170807,32000,35000,31000,31000,1054140
20170804,29850,31950,28000,31000,1156550
20170803,27500,33300,27500,32000,1657395
20170802,25900,26800,25150,26800,855357
20170801,24050,26450,24050,25050,894004
20170731,21100,27000,21100,24550,1605660
20170728,19700,21800,19000,21450,3578814
20170727,19150,22000,18550,20000,6636327
20170726,15350,18850,14850,18850,5925161
20170725,14150,14550,13800,14500,293273
20170724,14150,14300,13750,14000,200153
20170721,13600,14100,13500,14000,247799
20170720,13400,13700,13150,13600,136267
20170719,13050,13400,12900,13400,137537
20170718,13000,13100,12800,13000,121317
20170717,12150,13000,12100,13000,226599
20170714,12450,12450,12150,12200,57603
20170713,12150,12550,12150,12350,66797
20170712,12400,12600,12200,12300,66931
20170711,12350,12500,12250,12350,64128
20170710,12400,12450,12150,12200,81223
20170707,12250,12500,12100,12300,66542
20170706,11800,12750,11800,12350,311524
20170705,11750,11850,11700,11800,68661
20170704,11800,11950,11700,11750,85939
20170703,11900,12050,11750,11800,115253
20170630,11750,12150,11650,12100,146226
20170629,12450,12550,11700,11850,517028
20170628,13100,13100,12250,12550,349941
20170627,13100,13250,12950,13100,80790
20170626,13200,13350,13050,13050,90397
20170623,13150,13350,13100,13200,59990
20170622,13300,13700,13000,13150,153929
20170621,13200,13450,13150,13300,85035
20170620,13500,13500,12950,13150,238210
20170619,13500,13600,13450,13550,82839
20170616,13750,13800,13500,13500,140728
20170615,14050,14050,13650,13800,100984
20170614,13850,14100,13750,14000,102168
20170613,14100,14100,13750,13850,136161
20170612,14350,14450,14000,14050,130235
20170609,14450,14550,14300,14500,83038
20170608,14550,14550,14350,14500,81767
20170607,14450,14550,14250,14500,88980
20170605,14100,14450,14050,14450,147775
20170602,14200,14250,14000,14050,63830
20170601,14250,14450,14000,14200,100330
20170531,14100,14600,14100,14250,201570
20170530,13900,14150,13700,14100,116736
20170529,14100,14350,13850,13900,161825
20170526,13950,14050,13750,14050,118939
20170525,13800,14150,13750,13900,154782
20170524,13600,14100,13600,14000,203669
20170523,13600,13700,13450,13550,77928
20170522,13750,13800,13500,13500,80747
20170519,13450,13800,13350,13750,110595
20170518,13300,13550,13300,13450,88365
20170517,13500,13700,13400,13500,74482
20170516,13900,13950,13450,13500,209598
20170515,13800,13950,13700,13900,118192
20170512,13750,13900,13700,13800,108554
20170511,13800,13950,13750,13850,73957
20170510,14100,14150,13750,13900,121814
20170508,13950,14300,13750,14150,143347
20170504,13500,13800,13500,13700,61186
20170502,13600,13800,13450,13500,96545
20170428,14050,14050,13600,13650,131436
20170427,14000,14150,13900,13900,66919
20170426,14000,14250,13750,14000,116824
20170425,13900,14150,13850,13900,98692
20170424,14250,14300,13850,13900,119022
20170421,14350,14500,14000,14250,136625
20170420,14650,14850,14150,14250,252868
20170419,13600,15700,13600,14700,1284413
20170418,13600,13600,13300,13550,152143
20170417,13800,13850,13450,13500,176190
20170414,14200,14200,13600,13750,155963
20170413,13800,14200,13800,14100,173702
20170412,14350,14450,13100,13800,500081
20170411,14800,15050,14000,14400,244240
20170410,15600,15600,14700,14900,282896
20170407,15500,15600,15350,15450,58229
20170406,15650,15650,15400,15400,82015
20170405,15800,15900,15500,15600,92115
20170404,15650,16050,15500,15900,213359
20170403,15700,15700,15450,15650,105139
20170331,15500,15750,15450,15700,75818
20170330,15500,15600,15450,15500,49946
20170329,15500,15600,15350,15550,65973
20170328,15400,15500,15200,15450,110785
20170327,15700,15700,15400,15400,68402
20170324,15650,15700,15300,15550,70247
20170323,15350,15650,15350,15500,91926
20170322,15650,15900,15500,15550,57405
20170321,16050,16050,15400,15650,166432
20170320,16200,16200,15800,15850,100568
20170317,16200,16400,16150,16200,84498
20170316,16200,16650,16000,16300,113983
20170315,15950,17000,15950,16300,346056
20170314,16100,16150,15850,16000,62274
20170313,16100,16100,15800,16000,86930
20170310,15950,16300,15750,16050,88662
20170309,15950,16450,15850,16000,160522
20170308,15750,15900,15600,15850,60271
20170307,15400,15900,15300,15900,125574
20170306,15500,15650,15400,15400,80751
20170303,16000,16100,15600,15700,96089
20170302,16150,16350,15950,16100,126429
20170228,15600,16400,15500,16150,367363
20170227,15500,15600,15450,15550,90891
20170224,15150,15500,15100,15500,102571
20170223,15350,15350,15200,15200,74213
20170222,15500,15600,15250,15350,94559
20170221,15650,15650,15400,15450,72268
20170220,15700,15850,15500,15550,66640
20170217,15500,15700,15450,15600,57664
20170216,15800,15850,15500,15650,66929
20170215,15550,15850,15450,15800,114419
20170214,15600,15600,15300,15450,67192
20170213,15050,15600,15050,15500,124176
20170210,15400,15650,15250,15450,83876
20170209,15350,15450,15150,15350,86054
20170208,15650,15650,15250,15350,63502
20170207,15700,15750,15500,15650,63331
20170206,15250,15800,15200,15650,95888
20170203,15200,15450,15150,15250,97263
20170202,15700,15700,15350,15350,62488
20170201,15450,15850,15250,15600,113141
20170131,15150,15500,15150,15400,62063
20170126,15100,15300,15000,15250,75314
20170125,15500,15650,15000,15050,126878
20170124,15000,16100,14900,15500,203304
20170123,15600,15850,15100,15150,178832
20170120,15800,16150,15700,15700,144235
20170119,16600,16700,15900,16000,205420
20170118,16500,16750,16500,16600,55713
20170117,16500,16750,16500,16550,90402
20170116,17000,17000,16600,16650,124913
20170113,17050,17050,16800,17000,109412
20170112,16800,17150,16650,16950,205601
20170111,17150,17150,16700,16800,246203
20170110,17200,17350,17000,17100,128818
20170109,17400,17400,17200,17200,89443
20170106,17500,17500,17300,17350,110783
20170105,17450,17600,17300,17450,148807
20170104,17300,17550,17300,17400,119595
20170103,17350,17500,17250,17400,88118
20170102,17600,17650,17150,17300,142252
20161229,17750,17800,17500,17550,98053
20161228,17700,18000,17500,17800,144479
20161227,18000,18050,17600,17600,258837
20161226,18000,18150,17750,17900,185193
20161223,17350,18000,17350,17950,396098
20161222,18550,19450,18500,18550,836934
20161221,17900,18150,17600,18150,196360
20161220,18050,18100,17750,17850,130771
20161219,18000,18100,17550,18050,224768
20161216,17700,18500,17350,18150,369032
20161215,17650,17900,17600,17700,109381
20161214,17600,18000,17400,17900,264027
20161213,17400,17550,17250,17550,146316
20161212,17650,17650,17300,17400,206694
20161209,18000,18150,17500,17550,283270
20161208,17750,18150,17650,17750,133933
20161207,17600,18200,17500,17700,176428
20161206,17300,17950,17150,17750,225728
20161205,17250,17550,17050,17250,103511
20161202,17150,17300,17100,17200,69959
20161201,17300,17350,17050,17250,95283
20161130,17400,17400,17000,17200,129770
20161129,17550,17600,17200,17400,121423
20161128,17600,17800,17550,17550,106250
20161125,17500,17550,17300,17550,88602
20161124,17200,17600,17100,17300,168291
20161123,17350,17650,17200,17300,184069
20161122,17700,17800,17300,17350,246132
20161121,18000,18400,17550,17650,234665
20161118,18300,18300,17650,17950,295062
20161117,18500,18600,18100,18300,180496
20161116,18400,18650,18150,18600,142673
20161115,18950,19000,18250,18300,205878
20161114,18550,19000,18350,18700,161549
20161111,18750,18850,18300,18550,235909
20161110,18750,19050,18600,18850,301678
20161109,19400,19400,17500,18200,931641
20161108,19900,20250,19250,19250,361172
20161107,19500,19900,19450,19800,254832
20161104,19400,19650,18900,19400,343835
20161103,19950,20250,19550,19600,330760
20161102,19400,20200,18750,19750,764705
20161101,19200,20450,19150,19300,778087
20161031,20450,20650,19000,19250,973464
20161028,21350,21550,20750,20800,591301
20161027,20900,21400,20150,21300,1169482
20161026,20850,21400,20050,21150,2070322
20161025,18550,22000,18200,20250,3237757
20161024,18750,19500,17950,18450,832735
20161021,17900,19150,17850,18650,1048584
20161020,17500,17950,17400,17800,283108
20161019,17400,17600,17200,17350,106904
20161018,17400,17400,17150,17350,93359
20161017,17250,17550,17200,17400,82340
20161014,17550,17700,17100,17200,140239
20161013,17600,17950,17550,17600,105682
20161012,17600,18100,17500,17700,228494
20161011,17250,18100,17100,17650,273928
20161010,17250,17300,17000,17100,112913
20161007,17350,17650,17150,17200,107632
20161006,17350,17700,17300,17350,101463
20161005,17250,17450,17200,17350,72462
20161004,17250,17550,17100,17350,122001
20160930,17700,17800,17300,17300,226121
20160929,17750,18050,17750,17850,102239
20160928,18000,18300,17900,17950,189295
20160927,17550,18050,17400,17950,216719
20160926,18300,18450,17400,17700,305268
20160923,18550,18550,18050,18300,279201
20160922,17500,18750,17450,18450,1072164
20160921,17250,17350,16900,17150,154649
20160920,17100,17500,17000,17200,140697
20160919,17100,17200,16750,17100,150397
20160913,17150,17450,17150,17400,126291
20160912,17600,17700,17050,17100,269061
20160909,18750,18750,18000,18000,263133
20160908,18500,18700,18150,18600,376350
20160907,17800,18750,17550,18400,617187
20160906,17700,17800,17500,17800,144616
20160905,17400,17800,17250,17700,165581
20160902,17150,17500,17050,17400,123510
20160901,17200,17300,17000,17050,109893
20160831,17400,17700,17100,17150,133694
20160830,17100,18200,17000,17450,286025
20160829,17450,17900,17200,17200,181049
20160826,17250,17850,16950,17450,156993
20160825,17450,17600,17300,17300,101967
20160824,17550,17850,17400,17450,122246
20160823,17450,17850,17450,17650,156378
20160822,18100,18150,17400,17400,234843
20160819,18100,18650,18000,18100,357007
20160818,18200,18500,17850,17950,271154
20160817,18500,18900,17900,17950,394514
20160816,17650,20400,17650,18350,2670931
20160812,17500,17850,17300,17400,112046
20160811,17600,17650,17350,17450,81647
20160810,17500,17950,17250,17600,130709
20160809,17050,17750,16900,17350,152765
20160808,17250,17350,16600,16800,141516
20160805,17450,17500,17150,17250,103904
20160804,17250,17600,17200,17250,122884
20160803,17600,17950,17200,17250,231643
20160802,18000,18100,17450,17600,188526
20160801,18300,18400,17900,17900,126660
20160729,18400,18800,18200,18400,231289
20160728,18000,18450,17850,18350,208504
20160727,18100,18150,17800,18000,94173
20160726,17850,18250,17700,18050,112008
20160725,18300,18300,17850,17850,108500
20160722,17850,18450,17800,18200,181950
20160721,18100,18200,17800,17850,127090
20160720,18200,18350,17900,18000,127841
20160719,18000,19000,18000,18200,458151
20160718,17750,18250,17550,18000,131315
20160715,18000,18150,17800,17800,164230
20160714,18300,18500,17850,18000,206871
20160713,18100,18400,17950,18300,218774
20160712,18200,18550,17900,18100,233365
20160711,18500,18500,17850,18200,240367
20160708,18650,18850,18050,18200,300546
20160707,18600,19300,18350,18750,650967
20160706,18200,19000,17750,18400,732711
20160705,17400,19900,17150,18100,2363111
20160704,17550,17950,17150,17300,657657
20160701,18400,18700,17400,17550,1388508
20160630,15850,20400,15700,18750,5122102
20160629,15950,16050,15600,15750,218974
20160628,15500,15850,15100,15500,184654
20160627,15000,15850,14800,15400,228962
20160624,16150,16300,14550,15750,484945
20160623,16550,16750,16000,16100,262567
20160622,16650,17200,16400,16700,220556
20160621,16250,16900,16250,16550,185183
20160620,16650,16750,16300,16450,174543
20160617,16700,16800,16300,16450,180146
20160616,17350,17450,16500,16550,217135
20160615,16900,18150,16750,17200,446463
20160614,16750,17200,16550,16850,238359
20160613,17600,17600,16800,16850,380059
20160610,18150,18150,17600,17650,219016
20160609,18250,18550,17600,18050,521399
20160608,18650,18700,18300,18350,237131
20160607,18350,18800,18300,18700,211882
20160603,18850,18900,18500,18600,242704
20160602,19200,19200,18800,18850,208943
20160601,19400,19400,19000,19050,192381
20160531,19000,19550,18900,19400,280508
20160530,19000,19850,18600,19050,341216
20160527,18950,19100,18550,18850,226405
20160526,19850,20150,18750,18800,419407
20160525,20050,20400,19250,19250,338012
20160524,19550,21100,19300,19850,943347
20160523,19800,20250,19300,19500,243849
20160520,19050,19750,18700,19700,340240
20160519,19050,19300,18500,19050,284115
20160518,19600,19600,18600,19150,537713
20160517,20350,20350,19600,19700,356734
20160516,20150,20500,19700,20350,306621
20160513,20700,20900,20000,20250,403389
20160512,20800,21150,20500,20750,220380
20160511,21350,21650,20850,20850,292097
20160510,20350,21950,20250,21150,507038
20160509,21000,21450,20500,20550,252844
20160504,21650,21800,20450,21100,568879
20160503,21900,22300,21700,21750,321846
20160502,22500,22650,21750,21950,342773
20160429,22300,22850,21350,22300,653337
20160428,22600,23150,22100,22150,554126
20160427,23000,23250,22600,22600,749233
20160426,22150,24100,21750,22700,1995934
20160425,21500,22550,21150,21850,696603
20160422,23000,23050,21650,21900,982040
20160421,22500,24550,22400,22800,2813113
20160420,23150,23600,21950,22250,1609341
20160419,24200,24300,22350,23350,3024232
20160418,19200,23700,18700,23600,6270187
20160415,19100,20200,18850,19200,1451825
20160414,18450,18850,17500,18600,1035921
20160412,19050,19850,18050,18450,1065321
20160411,18400,20500,18150,18850,2654293
20160408,19700,20300,17850,18050,2002048
20160407,18950,22300,18350,19350,6694343
20160406,14600,18850,14450,18850,6598839
20160405,13500,16100,13500,14500,2334380
20160404,13950,14000,13200,13400,457983
20160401,14400,14500,13900,14000,282124
20160331,14900,15000,14400,14550,244086
20160330,15100,15100,14600,14800,204907
20160329,14550,15200,14500,15050,260591
20160328,15100,15250,14350,14550,360423
20160325,15550,15750,15100,15100,219940
20160324,15750,16000,15500,15500,252650
20160323,15600,16350,15350,15600,334112
20160322,15600,16050,15600,15600,160554
20160321,16000,16100,15100,15900,640476
20160318,16300,16350,16000,16150,227323
20160317,16400,16500,16200,16300,92266
20160316,16350,16400,16150,16350,118853
20160315,16550,16550,16100,16350,135806
20160314,16600,16650,16100,16200,201936
20160311,16750,16950,16550,16550,167349
20160310,17050,17200,16650,16900,324303
20160309,16950,17050,16750,16950,148660
20160308,17100,17400,16650,16950,262137
20160307,16900,17200,16750,16900,358309
20160304,16100,16800,16050,16650,424150
20160303,16900,17150,15500,16000,1523642
20160302,18450,18600,18200,18250,164381
20160229,18200,18500,18100,18450,153104
20160226,17800,18500,17700,18300,177818
20160225,18000,18100,17750,17800,109111
20160224,18450,18500,17800,17800,160763
20160223,18400,18900,17900,18350,300973
20160222,17100,19000,17100,18150,794353
20160219,17050,17350,16950,17200,173941
20160218,17250,17450,17000,17200,279250
20160217,17750,17800,17050,17100,244164
20160216,17100,18100,17100,17650,282873
20160215,17100,17500,16950,17250,207418
20160212,18000,18250,16100,17050,458556
20160211,19200,19350,18500,18500,267247
20160205,19350,20050,19150,19750,209814
20160204,19600,20250,19100,19350,194251
20160203,19050,20250,18500,19450,405179
20160202,17650,20750,17650,19050,1045166
20160201,18050,18350,17500,17850,321011
20160129,18450,18500,17950,18150,196599
20160128,18600,18650,17900,18350,318528
20160127,19100,19350,18450,18700,206088
20160126,19150,19550,19050,19150,154502
20160125,19150,19400,19000,19150,176848
20160122,19750,19950,18500,18950,420111
20160121,20100,20350,19450,19600,272547
20160120,20250,20950,20000,20150,278840
20160119,20850,20850,20350,20500,176813
20160118,20500,20950,20400,20850,136319
20160115,21100,21600,20650,20900,188423
20160114,21000,21000,20550,20800,201284
20160113,21500,21650,21050,21300,188872
20160112,21900,22000,21450,21450,163955
20160111,21450,22300,21400,21700,190571
20160108,21600,21900,21200,21700,235052
20160107,22150,22500,21700,22050,248007
20160106,22050,22600,21650,22200,369868
20160105,21400,22050,21200,21800,193336
20160104,21350,22900,21350,21650,604400
20151230,20400,20850,20300,20800,141896
20151229,20100,20650,20100,20550,164399
20151228,20600,20950,20100,20100,206554
20151224,20550,20900,20450,20550,137076
20151223,20800,20850,20400,20500,204644
20151222,21150,21350,20700,20800,208218
20151221,20600,21750,20600,21100,203272
20151218,20700,21350,20700,21000,146361
20151217,21250,21400,20750,21000,158436
20151216,20850,21200,20650,21150,177025
20151215,20200,20950,20200,20650,188326
20151214,20450,20750,20200,20300,211069
20151211,20700,21700,20700,21200,224905
20151210,20900,21700,20500,20800,249600
20151209,21850,21950,21100,21100,347089
20151208,22700,22800,21950,22050,315442
20151207,23100,23350,22700,22700,237626
20151204,22950,23550,22950,23100,172435
20151203,23100,23350,23000,23100,197892
20151202,23400,23700,23050,23050,270400
20151201,23400,23700,23300,23350,163390
20151130,23450,23700,23050,23700,257448
20151127,23500,23900,23100,23500,264848
20151126,23400,24050,23400,23400,245647
20151125,23850,23900,23400,23450,281222
20151124,24200,24650,23650,23800,346643
20151123,23600,24200,23300,24000,350048
20151120,23800,23850,23200,23600,308206
20151119,23950,24700,23600,23850,393277
20151118,22750,26250,22450,23750,1857251
20151117,22600,23150,22400,22750,312189
20151116,22500,22650,22200,22400,328826
20151113,23500,23700,23000,23150,339483
20151112,23850,24350,23700,23850,283616
20151111,23150,24800,23000,23850,624284
20151110,23450,23500,22800,23050,473671
20151109,24500,24750,23750,23800,598614
20151106,24600,25900,24150,24900,1024469
20151105,25800,26200,24500,24600,794522
20151104,27200,27600,25550,25700,1528612
20151103,28400,28800,25150,27150,5434658
20151102,23050,23650,22750,22950,294555
20151030,23250,23650,22750,23050,283358
20151029,23650,23900,23200,23300,313892
20151028,24050,24150,23550,23550,319426
20151027,23700,24450,23650,23750,466218
